"hh_id","kebele","woreda","zone","killil","dispute","land_red","age_head","f_head","edu_head","m_ad","f_ad","hh_size","n_plots","cert_rnd_two","cert_rnd_one","cert","ironroof2","mobile2","taperec2","radio2","sofa2","barrel2","cart2","plow2","jewelty2","townhouse2","wealth_score","credit_amt","credit"
"99","230","211","21","2",0,0,70,1,0,1,2,4,3,0,1,1,0,0,0,0,0,0,0,1,0,0,1.06650978261119,0,0
"103","230","211","21","2",0,0,76,0,0,1,1,6,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"104","230","211","21","2",0,0,90,0,0,1,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1.257309600195,0,0
"105","230","211","21","2",1,0,35,1,0,1,1,5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.87640524028176,0,0
"107","231","211","21","2",0,0,72,0,1,1,1,6,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"108","231","211","21","2",0,0,50,1,0,2,1,4,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0.503145569102944,0,0
"109","231","211","21","2",0,0,40,0,0,1,1,6,2,0,1,1,1,1,0,1,0,1,0,1,1,0,-0.924434823441876,0,0
"110","231","211","21","2",0,0,45,0,0,2,2,5,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,10000,1
"111","231","211","21","2",0,1,50,0,1,2,1,4,3,0,1,1,1,1,0,1,0,1,0,1,1,0,-0.924434823441876,0,0
"112","231","211","21","2",0,0,35,0,0,1,1,5,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1.06650978261119,7000,1
"113","231","211","21","2",0,0,40,0,0,1,1,3,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"114","231","211","21","2",0,0,70,0,0,2,2,7,4,0,1,1,0,1,0,0,0,1,0,0,1,0,-0.0867824195098185,0,0
"115","231","211","21","2",0,0,33,0,0,1,1,5,3,0,1,1,1,1,0,0,0,0,0,1,1,1,-0.191053899092415,0,0
"116","231","211","21","2",0,0,35,1,0,0,1,3,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0.131239999074276,0,0
"118","231","211","21","2",0,0,42,0,1,3,1,6,3,0,1,1,0,1,1,1,0,0,0,1,0,0,-0.0685442285089184,600,1
"119","231","211","21","2",0,1,60,0,1,2,1,4,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"120","231","211","21","2",0,0,58,0,0,1,1,7,4,0,1,1,1,1,0,0,0,1,0,1,0,1,-0.289352174066464,0,0
"121","237","251","21","2",0,0,31,0,0,1,1,3,5,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"122","237","251","21","2",0,0,60,0,0,2,1,5,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"124","237","251","21","2",1,0,51,0,1,1,1,4,3,0,0,0,1,1,1,0,0,1,0,1,1,0,-0.813723849601584,0,0
"125","237","251","21","2",0,0,60,1,0,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1.257309600195,0,0
"126","237","251","21","2",0,0,58,1,0,0,2,4,2,0,1,1,1,1,1,1,0,1,0,1,1,0,-1.19461382962964,0,0
"127","237","251","21","2",0,0,80,1,0,0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1.257309600195,0,0
"128","237","251","21","2",0,0,38,0,1,2,1,6,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"129","237","251","21","2",1,0,46,0,1,1,2,7,6,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"130","237","251","21","2",0,0,40,0,0,2,1,5,3,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"131","239","251","21","2",0,0,67,0,1,1,1,2,2,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"132","239","251","21","2",0,0,53,0,0,2,1,3,6,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"133","239","251","21","2",0,0,43,0,1,1,1,4,4,0,1,1,1,1,1,1,1,1,0,1,0,0,-0.891531661470399,0,0
"134","239","251","21","2",0,0,32,0,0,1,1,5,4,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"135","239","251","21","2",0,0,45,1,0,0,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1.257309600195,0,0
"136","239","251","21","2",0,0,51,0,1,2,2,5,6,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"137","239","251","21","2",0,0,38,0,1,1,1,5,4,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"138","239","251","21","2",0,1,74,0,0,1,3,6,6,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"140","239","251","21","2",0,0,45,0,1,1,2,5,4,0,1,1,1,1,0,0,0,1,0,1,0,1,-0.289352174066464,0,0
"141","238","251","21","2",0,0,55,0,1,1,0,1,7,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"142","238","251","21","2",0,0,70,1,0,0,1,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"143","238","251","21","2",0,0,40,0,1,1,1,3,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"144","238","251","21","2",0,0,67,1,0,0,3,3,4,0,1,1,1,1,0,1,0,1,0,1,1,0,-0.924434823441876,0,0
"145","238","251","21","2",0,1,75,0,1,3,3,7,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0.0463831451989448,0,0
"146","238","251","21","2",0,0,65,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1.257309600195,0,0
"147","238","251","21","2",0,0,50,1,0,0,1,3,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"149","238","251","21","2",0,0,36,0,1,1,1,3,3,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"150","238","251","21","2",0,0,55,1,0,0,1,4,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0.0281593340832265,0,0
"151","250","212","21","2",0,0,44,1,1,2,1,5,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0.507361968970515,0,0
"155","250","212","21","2",0,0,36,0,1,1,1,5,8,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"156","250","212","21","2",0,1,66,0,1,1,2,8,8,0,1,1,1,0,0,0,0,0,0,1,1,0,0.41964281637776,0,0
"158","250","212","21","2",0,0,66,0,1,1,0,2,3,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"163","250","212","21","2",0,0,53,0,0,2,1,4,6,0,1,1,1,1,1,0,0,0,0,1,0,0,0.0463831451989448,0,0
"164","250","212","21","2",0,0,40,0,1,1,1,7,7,0,1,1,1,1,1,0,0,1,0,1,0,0,-0.432819489688344,0,0
"165","250","212","21","2",1,0,39,0,0,1,1,4,3,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"166","250","212","21","2",0,0,52,0,1,2,1,3,2,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"167","250","212","21","2",0,0,51,1,0,1,2,3,6,0,1,1,1,1,0,0,0,0,0,1,1,0,-0.064342208526529,0,0
"169","245","212","21","2",1,0,50,0,1,1,2,6,9,0,1,1,1,0,1,0,0,0,0,1,0,0,0.530368170103234,0,0
"170","245","212","21","2",0,0,40,0,1,1,1,7,9,0,1,1,0,1,0,0,0,0,0,1,0,0,0.582524757706905,0,0
"172","245","212","21","2",0,0,55,0,1,1,2,4,7,0,1,1,1,1,1,1,0,1,0,1,1,0,-1.19461382962964,0,0
"174","245","212","21","2",0,0,50,0,1,3,2,7,5,0,1,1,1,0,1,0,0,1,0,1,0,0,0.0511655352159448,0,0
"175","245","212","21","2",0,0,37,0,1,1,1,4,5,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"176","245","212","21","2",0,0,39,1,0,1,1,7,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"177","245","212","21","2",0,0,35,0,0,1,0,3,6,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"178","245","212","21","2",0,0,75,1,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1.257309600195,0,0
"179","245","212","21","2",0,0,40,0,0,1,1,7,7,0,1,1,1,1,0,1,0,1,0,0,0,0,-0.352730645944831,0,0
"180","244","212","21","2",0,0,47,0,1,3,1,7,11,0,1,1,1,1,0,1,0,0,0,1,0,0,-0.0643278286413472,0,0
"181","244","212","21","2",0,0,30,0,1,2,2,6,6,0,1,1,1,1,1,0,0,1,1,1,1,0,-1.02278963424381,0,0
"182","244","212","21","2",0,0,56,0,0,2,2,8,9,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"183","244","212","21","2",0,1,60,1,0,0,2,3,3,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"184","244","212","21","2",1,0,37,1,0,0,1,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0.987130594007233,0,0
"185","244","212","21","2",0,0,41,0,1,2,1,8,5,0,1,1,1,1,1,0,0,1,0,1,1,0,-0.813723849601584,0,0
"186","244","212","21","2",0,0,45,0,0,2,1,5,4,0,1,1,0,0,0,0,0,0,0,1,0,0,1.06650978261119,0,0
"187","244","212","21","2",0,0,64,0,0,1,3,6,11,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"188","244","212","21","2",0,0,27,0,1,1,0,1,6,0,1,1,0,1,0,0,0,0,0,1,0,0,0.582524757706905,0,0
"189","244","212","21","2",0,0,52,0,1,2,1,6,8,0,1,1,0,1,0,0,0,0,0,1,0,0,0.582524757706905,0,0
